"Dept","Course num","Section num","Prof","Title","Author","ISBN","Status"
"BIOE","020B","01","DUNKIN","Iclicker&Remote  6 Month Access To Iclicker Ed: 1 St Yr: 2015","Mps","9781498601085","Required",
"BIOE","020B","01","DUNKIN","Life (Loose Leaf) Ed: 10 Th Yr: 2014","Sadava","9781464141263","Pick One",
"BIOE","020B","01","DUNKIN","Life Ed: 10 Th Yr: 2014","Sadava","9781429298643","Pick One",
"BIOE","020B","01","DUNKIN","Life Vol 3 Ed: 10 Th Yr: 2014","Sadava","9781464141249","Pick One",
"BIOE","020C","01","-","Life (Loose Leaf) Ed: 10 Th Yr: 2014","Sadava","9781464141263","Required",
"BIOE","020C","01","-","Life Vol 2 Ed: 10 Th Yr: 2014","Sadava","9781464141232","Required",
"BIOE","085","01","LEWIS","Plants Of The San Francisco Bay Region Ed: 1 St Yr: 2014","Beidleman","9780520278592","Required",
"BIOE","085","01","LEWIS","Mammals Of The Pacific States Ed: 1 St Yr: 1990","Ingles","9780804718431","Optional",
"BIOE","085","01","LEWIS","Natural History Of The Uc Santa Cruz Campus Ed: 2 Nd Yr: 2008","Haff","9780615192017","Optional",
"BIOE","085","01","LEWIS","Sibley Field Guide To Birds Of Western North America Ed: 1 St Yr: 2003","Sibley","9780679451211","Optional",
"BIOE","085","01","LEWIS","Western Reptiles & Amphibians Ed: 3 Rd Yr: 2003","Stebbins","9780395982723","Optional",
"BIOE","107","01","ESTES","Primer Of Ecology Ed: 4 Th Yr: 2008","Gotelli","9780878933181","Required",
"BIOE","107","01","ESTES","Primer Of Ecology Ed: 4 Th Yr: 2008","Gotelli","9780878933181","Required",
"BIOE","107","01","ESTES","Ecology (Loose Leaf) Ed: 3 Rd Yr: 2014","Cain","9781605353050","Pick One",
"BIOE","107","01","ESTES","Ecology (Loose Leaf) Ed: 3 Rd Yr: 2014","Cain","9781605353050","Pick One",
"BIOE","107","01","ESTES","Ecology Ed: 3 Rd Yr: 2014","Cain","9780878939084","Pick One",
"BIOE","107","01","ESTES","Ecology Ed: 3 Rd Yr: 2014","Cain","9780878939084","Pick One",
"BIOE","109","01","POGSON","Evolutionary Analysis (Loose Leaf) Ed: 5 Th Yr: 2014","Herron","9780321928160","Recommended",
"BIOE","109","01","POGSON","Evolutionary Analysis Ed: 4 Th Yr: 2007","Freeman","9780132275842","Recommended",
"BIOE","109","01","POGSON","Evolutionary Analysis Ed: 5 Th Yr: 2014","Herron","9780321616678","Recommended",
"BIOE","114","01","SINERVO","Western Reptiles & Amphibians Ed: 3 Rd Yr: 2003","Stebbins","9780395982723","Required",
"BIOE","118","01","PITTERMANN","Iclicker&Remote  6 Month Access To Iclicker Ed: 1 St Yr: 2015","Mps","9781498601085","Required",
"BIOE","118","01","PITTERMANN","Plants And Society Bioe 118 Custom Ed: 1 St Yr: 2016","Levetin","9781308744957","Required",
"BIOE","120","01","HEADY","Marine Algae Of California Ed: 1 St Yr: 1976","Abbott","9780804721523","Required",
"BIOE","129","01","COSTA","Marine Mammals Ed: 3 Rd Yr: 2015","Berta","9780123970022","Required",
"BIOE","130","01","OGREN","Writing Papers In Biological Sciences Ed: 5 Th Yr: 2012","Mcmillan","9780312649715","Required",
"BIOE","133","01","WILLIAMS","Exercise Physiology Ed: 8 Th Yr: 2015","Mcardle","9781451191554","Required",
"BIOE","133","01","WILLIAMS","Sports Gene W/New Afterword Ed: 1 St Yr: 2014","Epstein","9781617230127","Required",
"BIOE","151A","01","CROLL","Handbook Of Biological Investigation Ed: 7 Th Yr: 2007","Ambrose","9780887253317","Required",
"BIOE","151A","01","CROLL","Monitoring Plant & Animal Populations Ed: 1 St Yr: 2001","Elzinga","9780632044429","Required",
"BIOL","020A","01","BOWMAN","Life (Loose Leaf) Ed: 10 Th Yr: 2014","Sadava","9781464141263","Pick One",
"BIOL","020A","01","BOWMAN","Life Ed: 10 Th Yr: 2014","Sadava","9781429298643","Pick One",
"BIOL","020A","01","BOWMAN","Life Vol 1 Ed: 10 Th Yr: 2014","Sadava","9781464141225","Pick One",
"BIOL","080A","01","DUNKIN","New Harvard Guide To Women's Health Ed: 1 St Yr: 2004","Carlson","9780674012820","Required",
"BIOL","101","01","VOLLMERS","Molecular Biology Of The Cell Ed: 6 Th Yr: 2015","Alberts","9780815344322","Optional",
"BIOL","105","01","LEE","Genetics Ed: 5 Th Yr: 2015","Hartwell","9780073525310","Pick One",
"BIOL","105","01","LEE","Ucsc Custom   Genetics W/ Connect Plus Ed: 5 Th Yr: 2015","Hartwell","9781308362861","Pick One",
"BIOL","106","01","-","Ucsc Custom   Genetics W/ Connect Plus Ed: 5 Th Yr: 2015","Hartwell","9781308362861","Required",
"BIOL","110","01","HINCK","Molecular Biology Of The Cell Ed: 6 Th Yr: 2015","Alberts","9780815344322","Required",
"BIOL","114","01","ZAHLER","Biology Of Cancer (W/Cd) Ed: 2 Nd Yr: 2014","Weinberg","9780815342205","Required",
"BIOL","126","01","ZUO","Neuroscience Ed: 5 Th Yr: 2012","Purves","9780878936953","Required",
"BIOL","130","01","OGREN","Writing Papers In Biological Sciences Ed: 5 Th Yr: 2012","Mcmillan","9780312649715","Required",
"BME","005","01","ROTHWELL","Intro To Biotechnology Ed: 2 Nd Yr: 2009","Thieman","9780321491459","Pick One",
"BME","005","01","ROTHWELL","Intro To Biotechnology Ed: 3 Rd Yr: 2013","Thieman","9780321766113","Pick One",
"BME","080H","01","ROTHWELL","Human Heredity Ed: 10 Th Yr: 2014","Cummings","9781133106876","Pick One",
"BME","080H","01","ROTHWELL","Human Heredity Ed: 11 Th Yr: 2016","Cummings","9781305251052","Pick One",
"CHEM","001A","01","ROLAND","Ucsc Custom Bundle   Chem Principles W/ 3 Qtr Hw Code / Ebook Ed: 7 Th Yr: 2012","Chem 1 P&amp;1 A/B/C Bundle","9781285126159","Required",
"CHEM","001A","01","ROLAND","Chemical Principles S.G. Ed: 7 Th Yr: 2013","Zumdahl","9781133109242","Optional",
"CHEM","001A","01","ROLAND","Chemical Principles St Sol Man Ed: 7 Th Yr: 2013","Zumdahl","9781133109235","Optional",
"CHEM","001A","01","ROLAND","Webassign *Multi Term Code* +Ebook Ed: 1 St","Chem 001 A/B/C&amp;P","9781285858487","Pick One",
"CHEM","001A","01","ROLAND","Webassign Homework Code *One Quarter Access Only* +Ebook Ed: 1 St Yr: 2013","Chem 001 P/A/Borc&amp;Math022","9781285858500","Pick One",
"CHEM","001B","01","ZHANG","Webassign Homework Code *One Quarter Access Only* +Ebook Ed: 1 St Yr: 2013","Chem 001 P/A/Borc&amp;Math022","9781285858500","Required",
"CHEM","001B","01","ZHANG","Chemical Principles S.G. Ed: 7 Th Yr: 2013","Zumdahl","9781133109242","Optional",
"CHEM","001B","01","ZHANG","Chemical Principles St Sol Man Ed: 7 Th Yr: 2013","Zumdahl","9781133109235","Optional",
"CHEM","001B","01","ZHANG","Ucsc Custom Bundle   Chem Principles W/ 3 Qtr Hw Code / Ebook Ed: 7 Th Yr: 2012","Chem 1 P&amp;1 A/B/C Bundle","9781285126159","Pick One",
"CHEM","001B","01","ZHANG","Webassign *Multi Term Code* +Ebook Ed: 1 St","Chem 001 A/B/C&amp;P","9781285858487","Pick One",
"CHEM","001C","01","WEISS","Ucsc Custom Bundle   Chem Principles W/ 3 Qtr Hw Code / Ebook Ed: 7 Th Yr: 2012","Chem 1 P&amp;1 A/B/C Bundle","9781285126159","Required",
"CHEM","001C","01","WEISS","Chemical Principles S.G. Ed: 7 Th Yr: 2013","Zumdahl","9781133109242","Optional",
"CHEM","001C","01","WEISS","Chemical Principles St Sol Man Ed: 7 Th Yr: 2013","Zumdahl","9781133109235","Optional",
"CHEM","001C","01","WEISS","Webassign *Multi Term Code* +Ebook Ed: 1 St","Chem 001 A/B/C&amp;P","9781285858487","Pick One",
"CHEM","001C","01","WEISS","Webassign Homework Code *One Quarter Access Only* +Ebook Ed: 1 St Yr: 2013","Chem 001 P/A/Borc&amp;Math022","9781285858500","Pick One",
"CHEM","001M","01","WEISS","Webassign Hmwk Code For Chem Lab   Professor Roland Ed: 1 St","Chem 001 M/N Lab Code Nr","9781928550808","Required",
"CHEM","001N","01","ROLAND","Webassign Hmwk Code For Chem Lab   Professor Roland Ed: 1 St","Chem 001 M/N Lab Code Nr","9781928550808","Required",
"CHEM","109","01","BINDER","Experimental Organic Chemistry Ed: 1 St Yr: 2000","Palleros","9780471282501","Pick One",
"CHEM","109","01","BINDER","Organic Chem Textbook (New) W/Model Kit W/Ebk Ed: 8 Th Yr: 2013","Mcmurry Spring Quarter Savings","9781305609976","Pick One",
"CHEM","109","01","BINDER","Organic Chemistry Ed: 8 Th Yr: 2012","Mcmurry","9780840054449","Pick One",
"CHEM","110","01","RASKATOV","Organic Chem Textbook (New) W/Model Kit W/Ebk Ed: 8 Th Yr: 2013","Mcmurry Spring Quarter Savings","9781305609976","Recommended",
"CHEM","110","01","RASKATOV","Organic Chemistry S.G. & St Sol Man Ed: 8 Th Yr: 2012","Mcmurry","9780840054456","Recommended",
"CHEM","110L","01","BINDER","Laboratory Techniques In Organic Chemistry Ed: 4 Th Yr: 2014","Mohrig","9781464134227","Pick One",
"CHEM","110L","01","BINDER","Techniques In Organic Chemistry Ed: 3 Rd Yr: 2010","Mohrig","9781429219563","Pick One",
"CHEM","163C","01","AYZNER","Physical Chemistry (2 Nd Prtg Or Later) Ed: 1 St Yr: 1997","Mcquarrie","9780935702996","Required",
"CHEM","242C","01","CREWS","Organic Structure Analysis Ed: 2 Nd Yr: 2010","Crews","9780195336047","Required",
"CLEI","010","01","COLLINS","Motivation & Learning Strategies For College Success Ed: 4 Th Yr: 2013","Dembo","9780415894203","Required",
"CLNI","086","01","STAFF","Leadership For A Better World Ed: 1 St Yr: 2009","Komives","9780470449493","Required",
"CMPE","003","01","MOULDS","Info Tech Ucsc Custom Edition   Digital Planet Ed: 1 St","Beekman Moulds","9781269064095","Required",
"CMPE","012","01","DUNNE","Ucsc Custom  Intro To Computing Systems (Softcover) Ed: 2 Nd Yr: 2004","Patt","9780077647254","Required",
"CMPE","013","01","DUNNE","C Programming Language Ed: 2 Nd Yr: 1988","Kernighan","9780131103627","Required",
"CMPE","016","01","LARRABEE","Discrete Math (Full Book) $Avings Ed: 7 Th Yr: 2012","Rosen","9781308503882","Required",
"CMPE","080E","01","DREISBACH","Elements Of Moral Philosophy Ed: 8 Th Yr: 2015","Rachels","9780078119064","Required",
"CMPE","080E","01","DREISBACH","Rulebook For Arguments Ed: 4 Th Yr: 2009","Weston","9780872209541","Required",
