"Dept","Course num","Section num","Prof","Title","Author","ISBN","Status"
"ECON","235","01","SINGH","Corporate Finance (Loose Leaf) Ed: 11 Th Yr: 2016","Ross","9781259709685","Required",
"ECON","236","01","ALDRICH","Options, Futures & Other Derivatives Ed: 9 Th Yr: 2015","Hull","9780133456318","Required",
"EDUC","060","01","BARTLETT","Future Of Higher Education Ed: 1 St Yr: 2011","Clawson","9780415892063","Required",
"EDUC","125","01","SCOTT","Elementary Children's Literature Ed: 4 Th Yr: 2013","Anderson","9780132685832","Recommended",
"EDUC","171","01","GORDON","I Survived The Killing Fields Ed: 1 St","Seng Kok Ung","9781450756174","Required",
"EDUC","183","01","MOSCHKOVICH","Adding It Up: Helping Children Learn Mathematics Ed: 1 St Yr: 2001","Kilpatrick","9780309218955","Required",
"EE","103","01","FRIEDLANDER","Signals, Systems & Transforms Ed: 5 Th Yr: 2014","Phillips","9780133506471","Required",
"EE","153","01","DOWLA","Digital Signal & Student Manual Using Matlab Ed: 1 St","Proakis","9780131347281","Required",
"EE","232","01","YAMADA","Quantum Electronics Ed: 3 Rd Yr: 1988","Yariv","9780471609971","Required",
"EE","250","01","DOWLA","Dsp First Ed: 2 Nd Yr: 2015","Mcclellan","9780136019251","Required",
"EE","289","01","KUBBY","Adaptive Optics For Biological Imagining Ed: 1 St Yr: 2013","Kubby","9781439850183","Required",
"ENVS","023","01","MONSEN","Our Changing Planet Ed: 4 Th Yr: 2011","Mackenzie","9780321667724","Required",
"ENVS","100","01","CRANDALL","Making Sense: Geography & Environmental Studies Ed: 6 Th Yr: 2015","Northey","9780199010226","Required",
"ENVS","100","01","CRANDALL","Sixth Extinction Ed: 1 St Yr: 2014","Kolbert","9781250062185","Required",
"ENVS","107","01","LAY","Jepson Manual: Vascular Plants Of California Ed: 2 Nd Yr: 2012","Baldwin","9780520253124","Required",
"ENVS","107","01","LAY","Field Guide To Birds Of Western North America Ed: 4 Th Yr: 2010","Peterson","9780547152707","Recommended",
"ENVS","107","01","LAY","National Geographic Field Guide To Birds Of North America Ed: 6 Th Yr: 2011","Dunn","9781426208287","Recommended",
"ENVS","107","01","LAY","Natural History Of California Ed: 1 St Yr: 1992","Schoenherr","9780520069220","Recommended",
"ENVS","107","01","LAY","Sibley Guide To Birds Of Western North America Ed: 1 St Yr: 2003","Sibley","9780713666588","Recommended",
"ENVS","109A","01","CROLL","Handbook Of Biological Investigation Ed: 7 Th Yr: 2007","Ambrose","9780887253317","Required",
"ENVS","109A","01","CROLL","Monitoring Plant & Animal Populations Ed: 1 St Yr: 2001","Elzinga","9780632044429","Required",
"ENVS","151","01","SCHIFFRIN","Ceqa Deskbook Ed: 3 Rd Yr: 2012","Bass","9780923956486","Required",
"ENVS","151","01","SCHIFFRIN","Guide To California Planning Ed: 4 Th Yr: 2012","Fulton","9781938166020","Required",
"ENVS","179","01","COHEN","Coyote's Guide To Connecting With Nature Ed: 1 St","Young","9781579940256","Required",
"ENVS","179","01","COHEN","Natural History Of The Uc Santa Cruz Campus Ed: 2 Nd Yr: 2008","Haff","9780615192017","Required",
"FILM","020B","01","COOPER","American Television Industry Ed: 1 St Yr: 2009","Curtin","9781844573370","Required",
"FILM","130","01","HORNE","American Cinema Of The 1920's Ed: 1 St Yr: 2009","Fischer","9780813544854","Required",
"FILM","165D","01","KIM","Asian Americans & The Media Ed: 1 St Yr: 2009","Ono","9780745642741","Required",
"FILM","165D","01","KIM","Countervisions*Print Of Demand Title*Two Weeks Ed: 1 St Yr: 2000","Hamamoto","9781566397766","Required",
"FILM","165D","01","KIM","Moving The Image Ed: 1 St","Leong","9780934052139","Required",
"FILM","170B","01/02","ARCHER","Filmmaker's Handbook 2013 Ed Ed: 4 Th Yr: 2013","Ascher","9780452297289","Required",
"FILM","185D","01","KAHANA","Audio Vision Ed: 1 St Yr: 1994","Chion","9780231078993","Required",
"FILM","185D","01","KAHANA","Silent Film Sound Ed: 1 St Yr: 2007","Altman","9780231116633","Required",
"FILM","185D","01","KAHANA","Sounds Of Commerce Ed: 1 St Yr: 1998","Smith","9780231108638","Required",
"FILM","185D","01","KAHANA","Vocal Tracks Ed: 1 St","Smith","9780520254947","Required",
"FILM","229","01","KAHANA","Beyond The Pleasure Principle Standard Ed (Intro: Gay) Ed: 1 St Yr: 1975","Freud","9780393007695","Required",
"FILM","229","01","KAHANA","Building Bridges Ed: 1 St","Ten Brink","9781905674473","Required",
"FILM","229","01","KAHANA","Cinema And Counter History Ed: 1 St","Landy","9780253016164","Required",
"FILM","229","01","KAHANA","Cities Of The Dead Ed: 1 St Yr: 1996","Roach","9780231104616","Required",
"FILM","229","01","KAHANA","Future Of Nostalgia Ed: 1 St Yr: 2001","Boym","9780465007080","Required",
"FILM","229","01","KAHANA","Ghostly Matters W/New Intro Ed: 1 St Yr: 2008","Gordon","9780816654468","Required",
"FILM","229","01","KAHANA","Hamlet (New Ed)(Ed: Miola) Ed: 1 St Yr: 2011","Shakespeare","9780393929584","Required",
"FILM","229","01","KAHANA","Moses & Monotheism Ed: 1 St Yr: 2000","Freud","9780394700144","Required",
"FILM","229","01","KAHANA","Presentation Of Self In Everyday Life Ed: 1 St Yr: 1959","Goffman","9780385094023","Required",
"FILM","229","01","KAHANA","Shadows Of The Past Ed: 1 St","Grindon","9781566391825","Required",
"FMST","139","01","APTHEKER","African American Women & The Vote 1837 1965 Ed: 1 St Yr: 1997","Gordon","9781558490598","Required",
"FMST","139","01","APTHEKER","Incidents In The Life Of A Slave Girl Ed: 1 St Yr: 2009","Jacobs","9780674035836","Required",
"FMST","139","01","APTHEKER","Abolition Democracy Ed: 1 St Yr: 2005","Davis","9781583226957","Recommended",
"FMST","139","01","APTHEKER","At The Dark End Of The Street Ed: 1 St Yr: 2010","Mcguire","9780307389244","Recommended",
"FMST","139","01","APTHEKER","Black Feminist Thought Ed: 1 St Yr: 2009","Collins","9780415964722","Recommended",
"FMST","139","01","APTHEKER","Queering The Color Line Ed: 1 St Yr: 2000","Somerville","9780822324430","Recommended",
"FMST","139","01","APTHEKER","Scenes Of Subjection Ed: 1 St Yr: 1997","Hartman","9780195089844","Recommended",
"FMST","139","01","APTHEKER","Seizing Freedom: Slave Emancipation And Liberty For All Ed: 1 St Yr: 2015","Roediger","9781784780258","Recommended",
"FMST","139","01","APTHEKER","Terror In The Heart Of Freedom Ed: 1 St Yr: 2009","Rosen","9780807858820","Recommended",
"FMST","194B","01","APTHEKER","An Archive Of Feelings: Trauma, Sexuality And Lesbian Public Ed: 1 St","Cvetcovich","9780822330882","Recommended",
"FMST","194B","01","APTHEKER","Bodies Of Evidence Ed: 1 St Yr: 2012","Boyd","9780199742738","Recommended",
"FMST","194B","01","APTHEKER","My Desire For History Ed: 1 St Yr: 2011","Berube","9780807871959","Recommended",
"FMST","194B","01","APTHEKER","The Queer Limit Of Black Memory: Black Lesbian Literature An Ed: 1 St","Richardson","9780814293232","Recommended",
"FMST","194B","01","APTHEKER","Transgender History Ed: 1 St Yr: 2008","Stryker","9781580052245","Recommended",
"FREN","002","01","HELOU","Horizons Bundle W/Hrdback Txtbk & Paperbk Wkbk   Fren 01&02 Ed: 6 Th Yr: 2015","Manley*French 001 &amp; 002","9781305249585","Required",
"FREN","002","01","HELOU","Horizons Ed: 6 Th Yr: 2015","Manley","9781285428284","Required",
"FREN","002","01","HELOU","Horizons Paperbk Txtbk & Student Activity Manual Bundle Ed: 6 Th Yr: 2015","Manley Loose Leaf","9781305436268","Required",
"FREN","002","01","HELOU","Horizons Student Activities Manual Alone Ed: 6 Th Yr: 2015","Manley 6 Th Edition","9781285433936","Required",
"FREN","002","01","HELOU","Horizons Bundle W/Hrdback Txtbk & Paperbk Wkbk   Fren 01&02 Ed: 6 Th Yr: 2015","Manley*French 001 &amp; 002","9781305249585","Pick One",
"FREN","002","01","HELOU","Horizons Ed: 6 Th Yr: 2015","Manley","9781285428284","Pick One",
"FREN","002","01","HELOU","Horizons Paperbk Txtbk & Student Activity Manual Bundle Ed: 6 Th Yr: 2015","Manley Loose Leaf","9781305436268","Pick One",
"FREN","002","01","HELOU","Horizons Student Activities Manual Alone Ed: 6 Th Yr: 2015","Manley 6 Th Edition","9781285433936","Pick One",
"FREN","003","ALL","CALLIOUX","French 01 Ilrn W/Ebook ***Nr   Homework Code Ed: 5 Th Yr: 2012","French Code Only","9780840048738","Required",
"FREN","003","ALL","CALLIOUX","Horizons Ed: 5 Th Yr: 2012","Manley","9780495912491","Required",
"FREN","004","01","BERGEROL","Pause Cafe Ed: 1 St Yr: 2009","Megharbi","9780072407846","Pick One",
"FREN","004","01","BERGEROL","Pause Cafe Le Cahier D'act Ed: 1 St Yr: 2009","Megharbi","9780072964868","Pick One",
"FREN","004","01","BERGEROL","Ucsc Custom Bundle   Pause Cafe Text & Workbook Ed: 1 St Yr: 2009","Megharbi","9780078157639","Pick One",
"FREN","005","ALL","CAILLOUX","Marius (Fortunio) Ed: 1 St Yr: 2004","Pagnol","9782877065139","Required",
"FREN","005","ALL","CAILLOUX","Pause Cafe Ed: 1 St Yr: 2009","Megharbi","9780072407846","Pick One",
"FREN","005","ALL","CAILLOUX","Pause Cafe Le Cahier D'act Ed: 1 St Yr: 2009","Megharbi","9780072964868","Pick One",
"FREN","005","ALL","CAILLOUX","Ucsc Custom Bundle   Pause Cafe Text & Workbook Ed: 1 St Yr: 2009","Megharbi","9780078157639","Pick One",
"GERM","001B","01","CAMPBELL","Ucsc Custom   Germ 001 B Vol 2 A Ed: 2 Nd Yr: 2015","Germ 001 B","9781308297576","Required",
"GERM","003","01","CAMPBELL","Germ 003 Custom Ed Ed: 1 St Yr: 2015","Germ 003","9781308297064","Required",
"HAVC","163","01","STAFF","Exploring New World Imagery Ed: 1 St","Pierce","9780914738510","Required",
"HEBR","003","01","STEIN-ROSEN","Hebrew: A Language Course Level 2 Ed: 1 St Yr: 1983","Band","9780874413601","Required",
"HIS","010A","01","WESTERKAMP","After The Fact Vol I Ed: 6 Th Yr: 2010","Davidson","9780077292683","Required",
"HIS","010A","01","WESTERKAMP","Common Sense Ed: 1 St Yr: 1997","Paine","9780486296029","Required",
"HIS","010A","01","WESTERKAMP","Declaration Of Independence & Other Great Doc Of Amer Histor Ed: 1 St Yr: 2000","Grafton","9780486411248","Required",
"HIS","010A","01","WESTERKAMP","Great Speeches By Native Americans Ed: 1 St Yr: 2000","Blaisdell","9780486411224","Required",
"HIS","010A","01","WESTERKAMP","Killer Angels (Rack Size) Ed: 1 St Yr: 1980","Shaara","9780345348104","Required",
"HIS","010A","01","WESTERKAMP","Women's Diaries Of Westward Journey W/New Foreword Ed: 1 St Yr: 2004","Schlissel","9780805211764","Required",
"HIS","012","01","DELGADO","Blowout! Ed: 1 St Yr: 2014","Garcia","9781469618982","Required",
"HIS","012","01","DELGADO","Brown In The Windy City Ed: 1 St Yr: 2012","Fernandez","9780226212845","Required",
"HIS","012","01","DELGADO","How The Garcia Girls Lost Their Accents Ed: 1 St Yr: 2010","Alvarez","9781565129757","Required",
"HIS","012","01","DELGADO","Harvest Of Empire Ed: 1 St Yr: 2011","Gonzalez","9780143119289","Optional",
"HIS","012","01","DELGADO","Wicked War Ed: 1 St Yr: 2012","Greenberg","9780307592699","Optional",
"HIS","050","01","SULLIVAN","History Of Ancient Egypt Ed: 1 St Yr: 2011","Vandemieroop","9781405160711","Required",
"HIS","050","01","SULLIVAN","Egyptian Archaeology Ed: 1 St Yr: 2010","Wendrich","9781405149884","Recommended",
"HIS","070B","01","THOMPSON","Death Of Ivan Ilych & Other Stories (Trans: Pevear) Ed: 1 St Yr: 2009","Tolstoy","9780307388865","Required",
"HIS","070B","01","THOMPSON","Defying Hitler Ed: 1 St Yr: 2002","Haffner","9780312421137","Required",
"HIS","070B","01","THOMPSON","Four Major Plays Ed: 1 St Yr: 2008","Ibsen","9780199536191","Required",
"HIS","070B","01","THOMPSON","Knowledge And Power Ed: 1 St","Gordon","9780930664305","Required",
"HIS","070B","01","THOMPSON","Magic Lantern W/New Afterword Ed: 1 St Yr: 1993","Ash","9780679740483","Required",
"HIS","070B","01","THOMPSON","My Early Life 1874 1904 Ed: 1 St Yr: 1996","Churchill","9780684823454","Required",
"HIS","070B","01","THOMPSON","Survival In Auschwitz W/New Afterword Ed: 1 St Yr: 1993","Levi","9780684826806","Required",
"HIS","070B","01","THOMPSON","Testament Of Youth (W/New Intro) Ed: 1 St Yr: 2005","Brittain","9780143039235","Required",
"HIS","070B","01","THOMPSON","Under A Cruel Star Ed: 1 St Yr: 1997","Kovaly","9780841913776","Required",
"HIS","070B","01","THOMPSON","History Of Modern Europe Vol Ii Ed: 2 Nd Yr: 2004","Merriman","9780393924954","Recommended",
"HIS","070B","01","THOMPSON","History Of Modern Europe Vol Two Ed: 3 Rd Yr: 2010","Merriman","9780393933857","Recommended",
"HIS","075","01","CIOC","Defiance (Movie Tie In) Ed: 1 St Yr: 2008","Tec","9780195376852","Required",
"HIS","075","01","CIOC","Europa, Europa  **Not Returnable Ed: 1 St Yr: 1993","Perel","9780471283645","Required",
"HIS","075","01","CIOC","Eyewitness Auschwitz Ed: 1 St Yr: 1999","Muller","9781566632713","Required",
"HIS","075","01","CIOC","Holocaust Ed: 2 Nd Yr: 2013","Engel","9781408249949","Required",
"HIS","075","01","CIOC","Last Days Of Hitler Ed: 6 Th Yr: 1992","Trevor Roper","9780226812243","Required",
"HIS","075","01","CIOC","Ordinary Men W/New Afterword Ed: 1 St Yr: 1998","Browning","9780060995065","Required",
"HIS","075","01","CIOC","Pianist Ed: 1 St Yr: 1999","Szpilman","9780312263768","Required",
"HIS","075","01","CIOC","Spielberg's Holocaust Ed: 1 St Yr: 1997","Loshitzky","9780253210982","Required",
"HIS","100","01","PETERSON","Pocket Guide To Writing In History Ed: 7 Th Yr: 2012","Rampolla","9780312610418","Required",
"HIS","105","01","SILVER","Hind Swaraj Or Indian Home Rule *Not Returnable Ed: 1 St Yr: 2009","Gandhi","9781449922214","Required",
"HIS","105","01","SILVER","Imagined Communities New Ed Ed: 1 St Yr: 2006","Anderson","9781844670864","Required",
"HIS","105","01","SILVER","Nationalism 2 Nd Rev & Updtd Ed: 1 St Yr: 2010","Smith","9780745651286","Required",
"HIS","105","01","SILVER","Nationalism In Europe 1789 1945 Ed: 1 St Yr: 1998","Baycroft","9780521598712","Required",
"HIS","105","01","SILVER","Nationalism Reader Ed: 1 St Yr: 1995","Dahbour","9781573926232","Required",
"HIS","105","01","SILVER","Nations & Nationalism Ed: 2 Nd Yr: 2006","Gellner","9780801475009","Required",
"HIS","105","01","SILVER","States, Nations, And Nationalism Ed: 1 St Yr: 1998","Hagen *Not Returnable","9780631209331","Required",
"HIS","110B","01","O'MALLEY","American Scripture Ed: 1 St Yr: 1997","Maier","9780679779087","Required",
"HIS","110B","01","O'MALLEY","Race & Revolution Ed: 1 St Yr: 1990","Nash","9780945612216","Required",
"HIS","110B","01","O'MALLEY","Radicalism Of The American Revolution Ed: 1 St Yr: 1991","Wood","9780679736882","Required",
"HIS","110B","01","O'MALLEY","Shoemaker & The Tea Party Ed: 1 St Yr: 1999","Young","9780807054055","Required",
"HIS","110E","01","LASAR","Age Of Edison Ed: 1 St Yr: 2013","Freeberg","9780143124443","Required",
"HIS","110E","01","LASAR","Fierce Discontent Ed: 1 St Yr: 2003","Mcgerr","9780195183658","Required",
"HIS","110E","01","LASAR","Highbrow/Lowbrow Ed: 1 St Yr: 1988","Levine","9780674390775","Required",
"HIS","110E","01","LASAR","Standing At Armageddon Ed: 1 St Yr: 2008","Painter","9780393331929","Required",
"AMS","010A","N/A","-","No info.","-","-","-"
"AMS","011A/B","N/A","-","No info.","-","-","-"
"AMS","207","N/A","-","No info.","-","-","-"
"AMS","212B","N/A","-","No info.","-","-","-"
"AMS","213B","N/A","-","No info.","-","-","-"
"AMS","221","N/A","-","No info.","-","-","-"
"AMS","231","N/A","-","No info.","-","-","-"
"AMS","250","N/A","-","No info.","-","-","-"
"AMS","256","N/A","-","No info.","-","-","-"
"AMS","274","N/A","-","No info.","-","-","-"
"AMS","280B","N/A","-","No info.","-","-","-"
"AMS","280C","N/A","-","No info.","-","-","-"
"AMS","280D","N/A","-","No info.","-","-","-"
"ANTH","081C","N/A","-","No info.","-","-","-"
"ANTH","100","N/A","-","No info.","-","-","-"
"ANTH","139","N/A","-","No info.","-","-","-"
"ANTH","145X","N/A","-","No info.","-","-","-"
"ANTH","148","N/A","-","No info.","-","-","-"
"ANTH","176F","N/A","-","No info.","-","-","-"
"ANTH","180","N/A","-","No info.","-","-","-"
"ANTH","180L","N/A","-","No info.","-","-","-"
"ANTH","187","N/A","-","No info.","-","-","-"
"ANTH","189","N/A","-","No info.","-","-","-"
"ANTH","194K","N/A","-","No info.","-","-","-"
"ANTH","194M","N/A","-","No info.","-","-","-"
"ANTH","196J","N/A","-","No info.","-","-","-"
"ANTH","238","N/A","-","No info.","-","-","-"
"ANTH","267A","N/A","-","No info.","-","-","-"
"ANTH","280","N/A","-","No info.","-","-","-"
"ANTH","287","N/A","-","No info.","-","-","-"
"ANTH","292","N/A","-","No info.","-","-","-"
"APLX","135","N/A","-","No info.","-","-","-"
"APLX","235","N/A","-","No info.","-","-","-"
"ART","0080D","N/A","-","No info.","-","-","-"
"ART","010F","N/A","-","No info.","-","-","-"
"ART","011","N/A","-","No info.","-","-","-"
"ART","020G","N/A","-","No info.","-","-","-"
"ART","020H","N/A","-","No info.","-","-","-"
"ART","020I","N/A","-","No info.","-","-","-"
"ART","020J","N/A","-","No info.","-","-","-"
"ART","080E","N/A","-","No info.","-","-","-"
"ART","101","N/A","-","No info.","-","-","-"
"ART","102","N/A","-","No info.","-","-","-"
"ART","118","N/A","-","No info.","-","-","-"
"ART","124","N/A","-","No info.","-","-","-"
"ART","129","N/A","-","No info.","-","-","-"
"ART","137","N/A","-","No info.","-","-","-"
"ART","138","N/A","-","No info.","-","-","-"
"ART","158","N/A","-","No info.","-","-","-"
"ART","159","N/A","-","No info.","-","-","-"
"ART","165","N/A","-","No info.","-","-","-"
"ART","169","N/A","-","No info.","-","-","-"
"ART","180B","N/A","-","No info.","-","-","-"
"ART","188","N/A","-","No info.","-","-","-"
"ART","190B","N/A","-","No info.","-","-","-"
"ASTR","006","N/A","-","No info.","-","-","-"
"ASTR","118","N/A","-","No info.","-","-","-"
"ASTR","119","N/A","-","No info.","-","-","-"
"ASTR","207","N/A","-","No info.","-","-","-"
"ASTR","224","N/A","-","No info.","-","-","-"
"ASTR","230","N/A","-","No info.","-","-","-"
"ASTR","234","N/A","-","No info.","-","-","-"
"ASTR","292","N/A","-","No info.","-","-","-"
"BIOE","114L","N/A","-","No info.","-","-","-"
"BIOE","147","N/A","-","No info.","-","-","-"
"BIOE","149","N/A","-","No info.","-","-","-"
"BIOE","294","N/A","-","No info.","-","-","-"
"BIOL","101L","N/A","-","No info.","-","-","-"
"BIOL","111B","N/A","-","No info.","-","-","-"
"BIOL","116","N/A","-","No info.","-","-","-"
"BIOL","127","N/A","-","No info.","-","-","-"
"BIOL","130L","N/A","-","No info.","-","-","-"
"BIOL","186F","N/A","-","No info.","-","-","-"
"BIOL","226","N/A","-","No info.","-","-","-"
"BME","101/L","N/A","-","No info.","-","-","-"
"BME","150","N/A","-","No info.","-","-","-"
"BME","160","N/A","-","No info.","-","-","-"
"BME","250","N/A","-","No info.","-","-","-"
"CHEM","108B","N/A","-","No info.","-","-","-"
"CHEM","108M","N/A","-","No info.","-","-","-"
"CHEM","291","N/A","-","No info.","-","-","-"
"CHIN","003","N/A","-","No info.","-","-","-"
"CHIN","006","N/A","-","No info.","-","-","-"
"CHIN","105","N/A","-","No info.","-","-","-"
"CLEI","056","N/A","-","No info.","-","-","-"
"CMMU","102","N/A","-","No info.","-","-","-"
"CMPE","121","N/A","-","No info.","-","-","-"
"DANM","202","N/A","-","No info.","-","-","-"
"DANM","203","N/A","-","No info.","-","-","-"
"DANM","211","N/A","-","No info.","-","-","-"
"DANM","250D","N/A","-","No info.","-","-","-"
"EART","109","N/A","-","No info.","-","-","-"
"EART","119","N/A","-","No info.","-","-","-"
"EART","120","N/A","-","No info.","-","-","-"
"EART","127","N/A","-","No info.","-","-","-"
"EART","130","N/A","-","No info.","-","-","-"
"EART","172","N/A","-","No info.","-","-","-"
"EART","188B","N/A","-","No info.","-","-","-"
"EART","191A","N/A","-","No info.","-","-","-"
"EART","258","N/A","-","No info.","-","-","-"
"EART","263","N/A","-","No info.","-","-","-"
"EART","272","N/A","-","No info.","-","-","-"
"EART","290I","N/A","-","No info.","-","-","-"
"EART","290P","N/A","-","No info.","-","-","-"
"EART","290U","N/A","-","No info.","-","-","-"
"ECON","104","N/A","-","No info.","-","-","-"
"ECON","113","N/A","-","No info.","-","-","-"
"ECON","142","N/A","-","No info.","-","-","-"
"ECON","201","N/A","-","No info.","-","-","-"
"ECON","204C","N/A","-","No info.","-","-","-"
"ECON","205C","N/A","-","No info.","-","-","-"
"ECON","220B","N/A","-","No info.","-","-","-"
"ECON","221A","N/A","-","No info.","-","-","-"
"ECON","250","N/A","-","No info.","-","-","-"
"EDUC","108","N/A","-","No info.","-","-","-"
"EDUC","120","N/A","-","No info.","-","-","-"
"EDUC","166","N/A","-","No info.","-","-","-"
"EDUC","178","N/A","-","No info.","-","-","-"
"EDUC","202A","N/A","-","No info.","-","-","-"
"EDUC","202B","N/A","-","No info.","-","-","-"
"EDUC","202C","N/A","-","No info.","-","-","-"
"EDUC","237","N/A","-","No info.","-","-","-"
"EDUC","255","N/A","-","No info.","-","-","-"
"EDUC","264","N/A","-","No info.","-","-","-"
"EE","080J","N/A","-","No info.","-","-","-"
"EE","104","N/A","-","No info.","-","-","-"
"EE","129C","N/A","-","No info.","-","-","-"
"EE","171","N/A","-","No info.","-","-","-"
"EE","173","N/A","-","No info.","-","-","-"
"EE","177","N/A","-","No info.","-","-","-"
"EE","180J","N/A","-","No info.","-","-","-"
"EE","195","N/A","-","No info.","-","-","-"
"EE","2","N/A","-","No info.","-","-","-"
"EE","218","N/A","-","No info.","-","-","-"
"EE","237","N/A","-","No info.","-","-","-"
"EE","261","N/A","-","No info.","-","-","-"
"EE","293","N/A","-","No info.","-","-","-"
"ENVS","100L","N/A","-","No info.","-","-","-"
"ENVS","110","N/A","-","No info.","-","-","-"
"ENVS","122","N/A","-","No info.","-","-","-"
"ENVS","123","N/A","-","No info.","-","-","-"
"ENVS","125","N/A","-","No info.","-","-","-"
"ENVS","145","N/A","-","No info.","-","-","-"
"ENVS","147","N/A","-","No info.","-","-","-"
"ENVS","149","N/A","-","No info.","-","-","-"
"ENVS","169","N/A","-","No info.","-","-","-"
"ENVS","190","N/A","-","No info.","-","-","-"
"ENVS","196","N/A","-","No info.","-","-","-"
"ENVS","210","N/A","-","No info.","-","-","-"
"FILM","020P","N/A","-","No info.","-","-","-"
"FILM","080M","N/A","-","No info.","-","-","-"
"FILM","080S","N/A","-","No info.","-","-","-"
"FILM","136C","N/A","-","No info.","-","-","-"
"FILM","150","N/A","-","No info.","-","-","-"
"FILM","151","N/A","-","No info.","-","-","-"
"FILM","168","N/A","-","No info.","-","-","-"
"FILM","170A","N/A","-","No info.","-","-","-"
"FILM","171","N/A","-","No info.","-","-","-"
"FILM","176","N/A","-","No info.","-","-","-"
"FILM","179A","N/A","-","No info.","-","-","-"
"FILM","189","N/A","-","No info.","-","-","-"
"FILM","194D","N/A","-","No info.","-","-","-"
"FILM","194E","N/A","-","No info.","-","-","-"
"FILM","194S","N/A","-","No info.","-","-","-"
"FMST","014","N/A","-","No info.","-","-","-"
"FMST","100","N/A","-","No info.","-","-","-"
"FMST","118","N/A","-","No info.","-","-","-"
"FMST","133","N/A","-","No info.","-","-","-"
"FMST","148","N/A","-","No info.","-","-","-"
"FMST","194C","N/A","-","No info.","-","-","-"
"FMST","194H","N/A","-","No info.","-","-","-"
"FMST","268A","N/A","-","No info.","-","-","-"
"FREN","006","N/A","-","No info.","-","-","-"
"FREN","136","N/A","-","No info.","-","-","-"
"GERM","006","N/A","-","No info.","-","-","-"
"GERM","119","N/A","-","No info.","-","-","-"
"HAVC","007","N/A","-","No info.","-","-","-"
"HAVC","027","N/A","-","No info.","-","-","-"
"HAVC","044","N/A","-","No info.","-","-","-"
"HAVC","046","N/A","-","No info.","-","-","-"
"HAVC","080","N/A","-","No info.","-","-","-"
"HAVC","122B","N/A","-","No info.","-","-","-"
"HAVC","123A","N/A","-","No info.","-","-","-"
"HAVC","141C","N/A","-","No info.","-","-","-"
"HAVC","141L","N/A","-","No info.","-","-","-"
"HAVC","151","N/A","-","No info.","-","-","-"
"HAVC","160A","N/A","-","No info.","-","-","-"
"HAVC","170","N/A","-","No info.","-","-","-"
"HAVC","185","N/A","-","No info.","-","-","-"
"HAVC","190D","N/A","-","No info.","-","-","-"
"HAVC","202","N/A","-","No info.","-","-","-"
"HAVC","233","N/A","-","No info.","-","-","-"
"HIS","009","N/A","-","No info.","-","-","-"
"HIS","044","N/A","-","No info.","-","-","-"
"HIS","106B","N/A","-","No info.","-","-","-"
"HIS","118","01","LASAR","One World Divisible Ed: 1 St Yr: 2000","Reynolds","9780393321081","Required",
"HIS","155","01","THOMPSON","Arabs And Israelis: Conflict And Peacemaking In The Middle E Ed: 1 St Yr: 2013","Feldman","9781137290823","Required",
"HIS","155","01","THOMPSON","In Land Of Israel Ed: 1 St Yr: 1993","Oz","9780156481144","Required",
"HIS","155","01","THOMPSON","Like Dreamers: The Story Of The Israeli Paratroopers Ed: 1 St","Halevi","9780060545772","Required",
"HIS","155","01","THOMPSON","My Promised Land Ed: 1 St Yr: 2013","Shavit","9780385521710","Required",
"HIS","155","01","THOMPSON","Once Upon A Country Ed: 1 St Yr: 2007","Nusseibeh","9780312427108","Required",
"HIS","155","01","THOMPSON","Tale Of Love & Darkness Ed: 1 St Yr: 2004","Oz","9780156032520","Required",
"HIS","155","01","THOMPSON","Thirteen Days In September Ed: 1 St Yr: 2014","Wright","9780385352031","Required",
"HIS","155","01","THOMPSON","Year Zero Of The Arab Israeli Conflict 1929 Ed: 1 St Yr: 2015","Cohen","9781611688115","Required",
"HIS","155","01","THOMPSON","Yellow Wind W/New Afterword Ed: 1 St Yr: 2002","Grossman","9780312420987","Required",
"HIS","155","01","THOMPSON","Israel: A History Ed: 1 St Yr: 2014","Shapira","9781611686180","Recommended",
"HIS","172B","01","KEHLER","Concise History Of The Third Reich Ed: 1 St Yr: 2006","Benz","9780520253834","Required",
"HIS","172B","01","KEHLER","Critical History Of German Film Ed: 1 St Yr: 2010","Brockmann","9781571134684","Required",
"HIS","172B","01","KEHLER","Films Of Leni Riefenstahl Ed: 1 St Yr: 2000","Hinton","9781578860098","Required",
"HIS","172B","01","KEHLER","Gilgi, One Of Us Ed: 1 St","Keun","9781612192772","Required",
"HIS","172B","01","KEHLER","Little Man, What Now? Ed: 1 St Yr: 2009","Fallada","9781933633640","Required",
"HIS","172B","01","KEHLER","Propaganda & The German Cinema 1933 1945 (Rev) Ed: 1 St Yr: 2001","Welch","9781860645204","Required",
"HIS","172B","01","KEHLER","Short Guide To Writing About Film Ed: 9 Th Yr: 2015","Corrigan","9780321965240","Required",
"HIS","172B","01","KEHLER","Weimar Culture Ed: 1 St Yr: 2001","Gay","9780393322392","Required",
"HIS","183B","01","POLECRITTI","Abruzzo Trilogy Ed: 1 St Yr: 2000","Silone","9781586420062","Required",
"HIS","183B","01","POLECRITTI","After The Divorce Ed: 1 St Yr: 1995","Deledda","9780810112490","Required",
"HIS","183B","01","POLECRITTI","Fascism, Anti Fascism, & The Resistance In Italy Ed: 1 St Yr: 2004","Pugliese","9780742531239","Required",
